count,latitude,longitude,found_country,place,country_name,continent
1,54.5910607,-1.8017245,True,"Of, Raby, Durham, England",England,Europe
1,53.9825271,-1.38525,True,"Of, Warkworth, Yorkshire, England",England,Europe
1,51.4104104,-0.8275279,True,"Infant, , , England",England,Europe
1,52.5310214,-1.2649062,True,"Sp Prob Infant, , , England",England,Europe
1,52.2343297,-0.9028043,True,"Battle Of, Northampton, Northamptonshire, England",England,Europe
1,55.4655667,-1.9070774,True,", Hedgeley Moor, Northumberland, England",England,Europe
1,53.9825271,-1.38525,True,", , Yorkshire, England",England,Europe
1,47.9278966,1.9180413,True,"Vp, Orleans, , France",France,Europe
1,51.6432869,-2.2005697,True,"Of, Beverstone, Gloucestershire, England",England,Europe
1,51.7643786,-2.1880662,True,"Of, Cubberley, Gloucestershire, England",England,Europe
1,51.5040063,-2.4920541,True,"Of, Newbury, Gloucestershire, England",England,Europe
1,,,False,Of Tewitfield,,
1,53.9010438,-1.5111773,True,"Of, Harewood, Yorkshire, England",England,Europe
1,53.7943276,-1.3293873,True,"Of, Micklefield, Yorkshire, England",England,Europe
1,52.707755,-2.7540658,True,", Shrewsbury, Shropshire, England",England,Europe
1,51.4818832,-2.7686972,True,", Usk, Monmouthshire, England",England,Europe
1,54.5937943,-1.8190963,True,"Of Castle Raby, Raby With Keverstone, Durham, England",England,Europe
1,47.4230544,0.8905783,True,"Chateau De Beaufort, Meuse-et-Loire, France",France,Europe
1,36.0032435,-105.9552006,True,(61-1425),United States,North America
1,53.7473189,-0.8622549,True,", Howden, Yorkshire, England",England,Europe
1,53.6829541,-1.4967286,True,", Wakefield, Yorkshire, England",England,Europe
1,,,False,Died Young,,
1,53.6835789,-1.4968547,True,"Of, , Westmorland, England",England,Europe
1,44.238366,9.6912326,True,Sp,Italia,Europe
1,54.5910607,-1.8017245,True,", Raby, Durham, England",England,Europe
1,51.7607271,-0.5652554,True,", Berkhamsted, Hertfordshire, England",England,Europe
1,54.5800156,-1.8068071,True,"Of Raby With Keverstone, Staindrop, Durham, England",England,Europe
1,50.9026432,-2.2726175,True,"Okeford, Fitzpaine, Dorset, England",England,Europe
1,47.9027336,1.9086066,True,Orleans,France,Europe
1,51.8690821,-2.2304022,True,"Wotton, Gloucestershire, England",England,Europe
1,52.5310214,-1.2649062,True,"Beverstone, Gloucs., , England",England,Europe
1,50.9025349,-1.404189,True,"Of, Itchell, Southampton, England",England,Europe
1,51.2889702,-1.0447215,True,"Of Basing, Hampshire, England",England,Europe
1,50.9093898,-2.8282672,True,"Of Hinton-St. George, Somersetshire, England",England,Europe
1,37.5164595,126.9221918,True,(88-1571/1572),South Korea,Asia
1,51.2712823,-1.046029,True,"Basing, Hampshire, Eng",United Kingdom,Europe
1,51.0449814,-1.2433133,True,"Of, Crandal, Hampshire, England",England,Europe
