address,alt_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Burnham, Bucks, England",,1,,,,51.7834994,-0.8946441,True,GB,England
"Burnham, Boveney, Bucks, England",,1,,,,51.7834994,-0.8946441,True,GB,England
"Hadley, Hampshire, MA",,1,,,,42.3423259,-72.5891221,True,US,United States
"South Isle Of Church, Sulgrave",,1,,,,52.1061958,-1.1915121,True,GB,United Kingdom
"Of Radway, Warwickshire, England",,1,,,,52.3213064,-1.5536906,True,GB,England
"Of Whitefield, Lancs., Eng.",,1,,,,53.8378282,-2.2105512,True,GB,United Kingdom
"Sulgrave, Northants, Eng",,1,,,,52.3106138,-0.865913,True,GB,United Kingdom
Will Dated,,1,,,,,,False,,
"Tyes Hall, Cuckfield, Sussex, England",,1,,,,51.0055129,-0.1393153,True,GB,England
"Of, Tighes, Surrey, England",,1,,,,51.2715316,-0.3414524,True,GB,England
"Palstarr, , Lancaster, England",,1,,,,54.0488219,-2.8013499,True,GB,England
"Of, Faccombe, Hertfordshire, England",,1,,,,51.8400523,-0.0978552,True,GB,England
", Linkenwilt",,1,,,,,,False,,
"Of, Kent, England",,1,,,,51.4269241,0.3612985,True,GB,England
"Of, , Kent",,1,,,,41.6722912,-71.602762,True,US,United States
"Kent Manor, Linkenholt, Southhamptonshir, Eng.",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
", Faccombe, , England",,1,,,,51.3171692,-1.4425384,True,GB,England
"Haines Hillhurst, Parish, Berkshire",,1,,,,51.4514323,-0.9881486,True,GB,United Kingdom
"Scrivelsby, Lincolnshire, England",,1,,,,53.1780161,-0.1023101,True,GB,England
"Boveney, , Bucks., Eng",,1,,,,51.7834994,-0.8946441,True,GB,United Kingdom
"Dorney, Bucks, England",,1,,,,51.7834994,-0.8946441,True,GB,England
"Binfield, , Berks., Eng",,1,,,,51.4312752,-0.7732314,True,GB,United Kingdom
"Binfield, Berkshire, Eng",,1,,,,51.4312752,-0.7732314,True,GB,United Kingdom
"Boveney, Bucks, England",,1,,,,51.7834994,-0.8946441,True,GB,England
"Of Burnham, , Eng",,1,,,,51.5185174,-0.6263098,True,GB,United Kingdom
"Tewhitefield, Lancashire, England",,1,,,,53.8611712,-2.5650945,True,GB,England
"Sulgrave Manor, Northamps, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Gretworth, Northamptonshire, Eng",,1,,,,52.3106138,-0.865913,True,GB,United Kingdom
"Of, Sulgrave, Northampton, England",,1,,,,52.2451778,-0.9182112,True,GB,England
"Greys Inn, Middlesex, England",,1,,,,51.5460558,-0.2537791,True,GB,England
"Grays Inn London, , Eng",,1,,,,51.5190382,-0.1114304,True,GB,United Kingdom
"Radway, Grange, Oxfordshire, Eng",,1,,,,52.07588,-1.3685633,True,GB,United Kingdom
"Radway, Warricks, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of, Wallop, Hants, England",,1,,,,50.9125822,-1.3975608,True,GB,England
"Kyme, Lincolnshire, England",,1,,,,53.0284973,-0.2511855,True,GB,England
"Of Scrivelsby, Lindssay, Lincolnshire, England",,1,,,,53.1823034,-0.2031209,True,GB,England
"Boveney Buckinghamshire, England",,1,,,,51.4910492,-0.6507385,True,GB,England
"Wardville, Berkshire, Eng",,1,,,,51.4534889,-1.031873,True,GB,United Kingdom
"Of Boveney, Bckngh, England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Of Binfield, Berks, England",,1,,,,51.4658779,-0.7748399,True,GB,England
"Of Aberfelde, Berks, Eng",,1,,,,51.4534889,-1.031873,True,GB,United Kingdom
"Arborfield, Berks, Eng",,1,,,,51.3963375,-0.9054306,True,GB,United Kingdom
"Of Dorney, Bucks, Eng",,1,,,,51.7834994,-0.8946441,True,GB,United Kingdom
", Wharton, Lancashire, England",,1,,,,53.6037703,-2.9343637,True,GB,England
"Greatworth, Northamps, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"St. Katherine'S, Aisle, Greatworth, Church",,1,,,,52.0770068,-1.1959081,True,GB,United Kingdom
"Charwelton, Northamps, Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Shattiswell, Warwick, Eng",,1,,,,52.2814519,-1.5815742,True,GB,United Kingdom
"Horley, Oxford, , Eng",,1,,,,51.7520131,-1.2578499,True,GB,United Kingdom
"Horley, Warwick, , Eng",,1,,,,52.2814519,-1.5815742,True,GB,United Kingdom
"Pillerton, Warwick, , Eng",,1,,,,52.1363333,-1.5625084,True,GB,United Kingdom
"Of, London, Middlesex, England",,1,,,,51.5161738,-0.0761823,True,GB,England
"Of, Gawthorpe, York, England",,1,,,,53.9656579,-1.0743052,True,GB,England
"Buckingham, Berkshire, Eng",,1,,,,51.556681,-0.7229044,True,GB,United Kingdom
", , Eng",,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of, Par. Of Burnham, Buckinghamshire, England",,1,,,,51.840894,-0.8998074,True,GB,England
"Of, Wardville, Berkshire, England",,1,,,,51.4534889,-1.031873,True,GB,England
"Basingstoke, Hants, Eng",,1,,,,50.9125822,-1.3975608,True,GB,United Kingdom
"Arborfield, Berkshire, England",,1,,,,51.3963375,-0.9054306,True,GB,England
"Warton, Lancs, Eng",,1,,,,54.1418786,-2.8123655,True,GB,United Kingdom
"Of, Warton, Lancashire, England",,1,,,,54.153376,-2.755655,True,GB,England
"Hengrave, Suffolk, England",,1,,,,52.2860353,0.6727342,True,GB,England
"Of, Fryston, York, England",,1,,,,53.7598705,-1.2337599,True,GB,England
"Bray, Berks, Eng",,1,,,,51.5069253,-0.7110987,True,GB,United Kingdom
"Aberfeldy, Pershore, England",,1,,,,52.1096993,-2.0754758,True,GB,England
"Of, Basingstoke, Berkshire, England",,1,,,,51.4356541,-0.9682938,True,GB,England
"Of, Itchell, Hampshire, England",,1,,,,51.2911904,-0.847955,True,GB,England
"Sidmanton, Hants, Eng",,1,,,,50.9125822,-1.3975608,True,GB,United Kingdom
"Warton Lonesdale, Lancs, Eng",,1,,,,53.8611743,-2.547115,True,GB,United Kingdom
"Of, Oversly, Warwickshire, England",,1,,,,52.3213064,-1.5536906,True,GB,England
"Of, Oversley, , England",,1,,,,53.350703,-2.2665186,True,GB,England
"Of, Wornsley",,1,,,,,,False,,
"Of, Newton Kyme, , England",,1,,,,53.8984388,-1.2952849,True,GB,England
"Of, Burghwallis, , England",,1,,,,53.6000851,-1.187771,True,GB,England
"Of, Gowthorpe, Yorkshire, England",,1,,,,53.9810347,-0.837235,True,GB,England
", Leckonfield, Yorkshire, England",,1,,,,53.9825271,-1.38525,True,GB,England
"Battle Of, Towtown, Yorkshire, England",,1,,,,53.9825271,-1.38525,True,GB,England
"Of, Leconfield, Yorkshire, England",,1,,,,53.8834471,-0.4435804,True,GB,England
"Manor, Cocks Lodge Near, Topcliffe, Yorkshire, England",,1,,,,54.1781348,-1.3871054,True,GB,England
(40-1489),,1,,,,49.0709373,14.9071748,True,CZ,Česko
"Of, England",,1,,,,52.5051933,-2.0159865,True,GB,England
"Of Barkham, Berks, Eng",,1,,,,51.4534889,-1.031873,True,GB,United Kingdom
"Of, Newbury, Berkshire, England",,1,,,,51.3968471,-1.3249375,True,GB,England
"Of, Aldwark, Yorkshire, England",,1,,,,54.0689002,-1.28041,True,GB,England
