country_code,country_name,address,latitude,found_country,continent,used,alt_addr,longitude
NONE,,"Schloss,Wildenwart",47.8281102,True,,0,,12.3119011
DE,Germany,"Dom Church,Munich,Germany",48.1371079,True,Europe,0,,11.5753822
HU,Hungary,"Sarvar,Hungary",47.2517426,True,Europe,0,,16.9342165
GB,England,"Whitehall,,England",51.5028139,True,Europe,0,,-0.1261997
GB,England,"Hampton Court,Palace,England",51.508217,True,Europe,0,,-0.0761879
GB,England,"Syon House,Brentford,Middlesex,England",51.5460558,True,Europe,0,,-0.2537791
GB,England,"Berkeley House,,England",51.3330794,True,Europe,0,,-0.419637
FR,France,"St. Germain-,en-Laye,France",48.8990413,True,Europe,0,,2.0942792
GB,England,"Cranbourne Lodge,Near,Windsor,England",53.4534802,True,Europe,0,,-2.1453953
NONE,,Whitehall,51.5028203,True,,0,,-0.1259778
GB,England,"Richmond Palace,,England",51.4608257,True,Europe,0,,-0.3088135
GB,England,"Richmond Palace,London,England",51.4608257,True,Europe,0,,-0.3088135
FR,France,"Convent of,Chaillot,France",48.8689495,True,Europe,0,,2.2920996
IT,Italy,"Frascati,,Italy",41.8082452,True,Europe,0,,12.6803684
NONE,,Mons,50.4549568,True,,0,,3.951958
IT,Italy,"Florence,,Italy",43.7697955,True,Europe,0,,11.2556404
GB,Scotland,"Edinburgh Castle,,Scotland",55.9486867,True,Europe,0,,-3.2004175
GB,England,"Theobalds Park,Hertfordshire,Herts,England",51.8400523,True,Europe,0,,-0.0978552
NONE,,"Skanderborg,Castle",51.6247029,True,,0,,-3.9454009
NONE,,"Hampton Court,Palace",51.406013,True,,0,,-0.340939
NONE,,Stirling Castle,56.1240308,True,,0,,-3.9480016
NONE,,Dunfermline,56.0713724,True,,0,,-3.4616183
NONE,,Dalkeith Palace,55.9330206,True,,0,,-3.1660627
NONE,,Linlithgow,55.977167,True,,0,,-3.6006234
GB,Scotland,"Dunfermline,Scotland",56.0713724,True,Europe,0,,-3.4616183
GB,England,"Whitehall Palace,,England",51.5045613,True,Europe,0,,-0.1240287
GB,England,"St. George's,Chapel,Windsor,England",51.5060495,True,Europe,0,,-0.7019072
NONE,,Stirling,56.1181242,True,,0,,-3.9360012
NONE,,Greenwich Palace,51.4470989,True,,0,,0.0485919
GB,England,"Stanwell Park,Middlesex,England",51.5460558,True,Europe,0,,-0.2537791
NONE,,Haderslevhus,55.2498739,True,,0,,9.4914451
NONE,,"Antvorslev,Castle",51.6247029,True,,0,,-3.9454009
DK,Denmark,"Roskilde,Cathedral,Denmark",55.6426437,True,Europe,0,,12.0804349
NONE,,Wismar,53.8909832,True,,0,,11.4647932
NONE,,Nykobing,54.7646137,True,,0,,11.8709918
FR,France,"Hotel du Louvre,Paris,France",48.8628245,True,Europe,0,,2.3356655
FR,France,"Colombe,Near Paris,France",46.603354,True,Europe,0,,1.8883335
NONE,,St. Denis,48.935773,True,,0,,2.3580232
FR,France,"Pau,Navarre,France",49.098344,True,Europe,0,,-0.1922837
GB,England,"Carisbrooke,Castle,Isle of Wight,England",50.6875557,True,Europe,0,,-1.3126773
GB,England,"Oatlands,Surrey,England",51.1768683,True,Europe,0,,-0.1557724
NONE,,Whitehall Palace,40.6547085,True,,0,,-75.4966678
GB,England,"Bedford House,Exeter,England",50.7256138,True,Europe,0,,-3.5269209
NONE,,St. Cloud,45.5616075,True,,0,,-94.1642004
PT,Portugal,"Vila Vicosa,Lisbon,Portugal",38.7077507,True,Europe,0,,-9.1365919
PT,Portugal,"Bemposta,Palace,Lisbon,Portugal",38.8000032,True,Europe,0,,-9.3850431
NONE,,Belem,-1.45056,True,,0,,-48.4682453
NONE,,Rendsborg,54.3000225,True,,0,,9.6516356
NONE,,"Schloss Iburg,Near,Osnabruck",52.2719595,True,,0,,8.047635
DE,Germany,"Berlin,Cathedral,Germany",53.8609125,True,Europe,0,,10.6857599
DE,Prussia,"Konigsberg,Prussia",51.0416043,True,Europe,0,,7.173014
GB,England,"Pembroke Castle,Pembrokeshire,England",52.5310214,True,Europe,0,,-1.2649062
GB,England,"Richmond Palace,Richmond Surrey,England",51.3066341,True,Europe,0,,-0.7166168
GB,England,"Henry VII Chapel,Westminster,Abbey,England",51.004756,True,Europe,0,,-2.2000702
GB,England,"Westminster,Palace,London,England",51.4991508,True,Europe,0,,-0.1255492
GB,England,"Tower of London,London,England",51.508217,True,Europe,0,,-0.0761879
NONE,,"Henry VII Chapel,Westminster,Abbey,London",51.5346682,True,,0,,-0.1809044
GB,England,"St. Swithin's,Priory,Winchester,England",50.8739049,True,Europe,0,,-1.1117686
NONE,,Ludlow Castle,52.3671823,True,,0,,-2.7230141
NONE,,Methven Castle,56.4168208,True,,0,,-3.5549253
AR,Argentina,"Buenos Aires,Argentina",-34.6095579,True,South America,0,,-58.3887904
GB,England,"Portland Hosp.,,England",50.5658306,True,Europe,0,,-2.4449716
GB,England,"Greenwich Palace,,England",52.5310214,True,Europe,0,,-1.2649062
GB,England,"Whitehall,London,England",51.5023278,True,Europe,0,,-0.1260912
GB,England,"Eltham Palace,,England",51.4470989,True,Europe,0,,0.0485919
GB,England,"Westhorpe,Suffolk,England",52.2820199,True,Europe,0,,0.9929034
GB,England,"Bishops Hatfield,Herts,England",51.746687,True,Europe,0,,-0.2338423
GB,England,"Tower of London,,England",51.508217,True,Europe,0,,-0.0761879
ES,Spain,"Near Madrid,,Spain",39.3260685,True,Europe,0,,-4.8379791
GB,England,"Kimbolton Castle,Hunts,England",53.0381735,True,Europe,0,,-1.3758361
GB,England,"Peterborough,Cathedral,England",53.3827979,True,Europe,0,,-1.4693102
GB,Scotland,"Linlithgow,,Scotland",55.977167,True,Europe,0,,-3.6006234
FR,France,"Blois,France",47.5876861,True,Europe,0,,1.3337639
GB,England,"Greenwich Palace,London,England",51.5074456,True,Europe,0,,-0.1277653
GB,England,"Blickling Hall,Norfolk,England",52.811735,True,Europe,0,,1.2317081
GB,England,"Chapel Royal,Tower of London,London,England",51.508217,True,Europe,0,,-0.0761879
GB,England,"Greenwich,,England",51.4820845,True,Europe,0,,-0.0045417
NONE,,"Wolf Hall,Savernake,Wilts",-27.9585585,True,,0,,30.2455894
NONE,,Dusseldorf,51.2254018,True,,0,,6.7763137
GB,England,"Chelsea,,England",51.4875167,True,Europe,0,,-0.1687007
NONE,,Lambeth,51.4952111,True,,0,,-0.1163354
GB,England,"Chapel Royal,London,England",51.4035262,True,Europe,0,,-0.3368838
NONE,,Kendal Castle,54.3248665,True,,0,,-2.7364732
NONE,,"Sudeley Castle,Gloucestershire",51.9473749,True,,0,,-1.9564293
NONE,,"Sudeley Castle,Chapel",40.4344845,True,,0,,-75.545906
NONE,,"Bradgate,Leicestershire",52.7896379,True,,0,,-1.2191206
GB,England,"Tower of London,Tower Green,London,England",51.5307534,True,Europe,0,,-0.0538225
GB,England,"Tower of London,Chapel Royal,London,England",51.4035262,True,Europe,0,,-0.3368838
NONE,,Valladolid,41.6521807,True,,0,,-4.728605
ES,Spain,"El Escorial,Palace,Madrid,Spain",40.4178245,True,Europe,0,,-3.7151134
NONE,,Evesham,52.0940158,True,,0,,-1.9483083
RS,Serbia,",,Yugoslavia",44.0243229,True,Europe,0,,21.0765743
US,USA,U.S.A.,39.7837304,True,North America,0,,-100.445882
US,USA,"Washington D.C.,U.S.A.",38.8950368,True,North America,0,,-77.0365427
FR,France,"Versailles,France",48.8035403,True,Europe,0,,2.1266886
ES,Spain,"Madrid,Spain,Spain",39.3260685,True,Europe,0,,-4.8379791
ES,Spain,",,Spain",39.3260685,True,Europe,0,,-4.8379791
NO,Norway,"Oslo,Norway",59.9133301,True,Europe,0,,10.7389701
BR,Brazil,",,Brazil",-10.3333333,True,South America,0,,-53.2
RO,Romania,"Roman,Romania",46.92528,True,Europe,0,,26.9284165
NONE,,"Fotheringay,Castle",51.6247029,True,,0,,-3.9454009
NONE,,Bosworth,39.469745,True,,0,,-93.3346524
NONE,,"Grey Friars,Abbey,Leicester",52.6486906,True,,0,,-1.1369949
GB,England,"Warwick Castle,Warwick,England",52.279527,True,Europe,0,,-1.5844827
GB,England,"Middleham Castle,Yorkshire,England",54.284101,True,Europe,0,,-1.8068844
FR,France,"Rouen,France",49.4404591,True,Europe,0,,1.0939658
NONE,,"Grafton Regis,Northants",52.3106138,True,,0,,-0.865913
NONE,,Bermondsey Abbey,51.4975728,True,,0,,-0.0788246
GB,England,"Quarr Abbey,Isle of Wight,England",50.7315258,True,Europe,0,,-1.205039
GB,England,"Sanctuary,Westminster,England",51.4979855,True,Europe,0,,-0.1302065
NONE,,Shrewsbury,52.707755,True,,0,,-2.7540658
NONE,,"Westminster,Palace",51.5008349,True,,0,,-0.1430045
NONE,,Eltham Palace,51.4470989,True,,0,,0.0485919
NONE,,Tiverton,50.9025623,True,,0,,-3.4875797
NONE,,Dartford,51.4443059,True,,0,,0.21807
GB,England,"Westminster,Palace,England",51.4991508,True,Europe,0,,-0.1255492
NONE,,Tewkesbury,51.9937857,True,,0,,-2.1549574
NONE,,Malmo,55.6052931,True,,0,,13.0001566
AT,Austria,"Grunau,Austria",48.0990638,True,Europe,0,,15.5032811
NONE,,Jassy,47.1615598,True,,0,,27.5837814
PT,Portugal,"Estoril,Portugal",38.7095707,True,Europe,0,,-9.3901368
NONE,,Stockholm,59.3251172,True,,0,,18.0710935
NONE,,Stuttgart,48.7784485,True,,0,,9.1800132
NONE,,"Het Loo,Apeldoorn",52.2342595,True,,0,,5.9539965
RO,Romania,"Cotroceni Palace,Bucharest,Romania",44.4361414,True,Europe,0,,26.1027202
DE,Germany,"Neuwied,Germany",50.4302393,True,Europe,0,,7.466302
RO,Romania,"Curtea de Arges,Romania",45.1469341,True,Europe,0,,24.6779826
NONE,,Possenhofen,47.9592147,True,,0,,11.3111908
GB,England,"Highbury,London,England",51.5463679,True,Europe,0,,-0.1036544
NONE,,Darmstadt,49.872775,True,,0,,8.651177
DE,Germany,"Near,Heidelberg,Germany",49.4093582,True,Europe,0,,8.694724
NONE,,Strassburg,48.584614,True,,0,,7.7507127
NONE,,Nice,43.7009358,True,,0,,7.2683912
NONE,,"St. Boniface,Church,Munich",48.1371079,True,,0,,11.5753822
NONE,,Munich,48.1371079,True,,0,,11.5753822
NONE,,"Schloss,Hohenschwangau",47.5575522,True,,0,,10.7496959
NONE,,"Schloss,Nymphenburg",48.1582569,True,,0,,11.5032967
NONE,,"Starnbergersee,Near Schloss,Berg",49.4307696,True,,0,,6.3111933
NONE,,"St. Michaels,Church,Munich",48.1371079,True,,0,,11.5753822
NONE,,"Near,Munich",48.1371079,True,,0,,11.5753822
AT,Austria,"Salzburg,Austria",47.7981346,True,Europe,0,,13.0464806
DE,Germany,"Bamberg,Germany",49.8916044,True,Europe,0,,10.8868478
DE,Germany,"Sans Souci,Potsdam,Germany",52.3994327,True,Europe,0,,13.0653774
NONE,,"Coln au Der,Spree",51.8426075,True,,0,,14.1392316
NONE,,Grabow,53.2789153,True,,0,,11.5625238
NONE,,Dotzingen,47.1208887,True,,0,,7.3435968
NONE,,"Pont-a-Mousson,Lorraine",48.9025946,True,,0,,6.0547691
NONE,,"Angers,Cathedral",47.4708864,True,,0,,-0.5580321
NONE,,Monmouth,40.2932319,True,,0,,-74.1671114
NONE,,"Bois de,Vincennes",48.831548,True,,0,,2.4341479
NONE,,"Bermondsey,Abbey",51.4975728,True,,0,,-0.0788246
NONE,,"Bolingbrooke,Castle",51.6247029,True,,0,,-3.9454009
GB,England,"Canterbury,Cathedral,England",53.3827979,True,Europe,0,,-1.4693102
NONE,,"Peterborough,Castle",52.6569988,True,,0,,-0.3000383
NONE,,Kenilworth,42.0894728,True,,0,,-87.7149295
NONE,,Beauge,47.7456327,True,,0,,0.4614741
NONE,,Rouen,49.4404591,True,,0,,1.0939658
NONE,,Bury St. Edmunds,52.2460367,True,,0,,0.7125173
DE,Germany,Germany,51.1638175,True,Europe,0,,10.4478313
NONE,,"Convent,of Vadstena",58.4483628,True,,0,,14.8920065
NONE,,Sheen Palace,29.6575676,True,,0,,91.1170188
NONE,,Valenciennes,50.3579317,True,,0,,3.5234846
GB,England,"Woodstock,Oxfordshire,England",51.8474887,True,Europe,0,,-1.3545343
GB,England,"Canterbury,Cathedral,London,England",51.4958266,True,Europe,0,,-0.1394181
NONE,,Woodstock,42.0410578,True,,0,,-74.1182492
NONE,,London,51.5074456,True,,0,,-0.1277653
NONE,,Bayonne,43.4945144,True,,0,,-1.4736657
NONE,,Hatfield Herts,51.7634675,True,,0,,-0.2258741
BE,Belgium,"Antwerp,Belgium",51.2211097,True,Europe,0,,4.3997081
IE,Ireland,"Dublin,Ireland",53.3493795,True,Europe,0,,-6.2605593
NONE,,Ghent,51.0538286,True,,0,,3.7250121
NONE,,Leicester Castle,52.6323702,True,,0,,-1.140593
NONE,,"Kings Langley,Herts",51.7135573,True,,0,,-0.4503027
NONE,,Tower of London,51.508217,True,,0,,-0.0761879
NONE,,"Waltham,Near Winchester",51.0551516,True,,0,,-1.3290508
NONE,,Calais,50.9524769,True,,0,,1.8538446
FR,France,"Orleans,France",47.9027336,True,Europe,0,,1.9086066
GB,Scotland,"Stirling,Scotland",56.1181242,True,Europe,0,,-3.9360012
NONE,,"Eltham Palace,Kent",51.2070749,True,,0,,0.7210362
NONE,,Perth,-31.9558967,True,,0,,115.8605784
NONE,,Deventer,52.2694896,True,,0,,6.2364886
NONE,,Hertford,36.3560545,True,,0,,-77.0115135
NONE,,Near Carlisle,54.913312,True,,0,,-2.9192473
NONE,,Castile,42.6289515,True,,0,,-78.0544514
NONE,,"Herdeby,Near Grantham,Lincolnshire",53.1823034,True,,0,,-0.2031209
GB,England,"Westminster,London,England",51.5013562,True,Europe,0,,-0.1249302
NONE,,"Merton,Surrey",51.1423906,True,,0,,-0.4774898
NONE,,Holy Land,45.0136777,True,,0,,-93.2470188
PS,"Palestine, State of","Acre,Palestine",31.5197847,True,Asia,0,,35.0494777
GB,England,"Clare,Suffolk,England",52.0793283,True,Europe,0,,0.5820634
NONE,,Bordeaux,44.841225,True,,0,,-0.5800364
NONE,,Brussels,50.8465573,True,,0,,4.351697
NONE,,Kennington,51.4882861,True,,0,,-0.1058829
NONE,,Amesbury,42.8579536,True,,0,,-70.9300921
NONE,,Rhuddlan Castle,53.2891801,True,,0,,-3.4642147
NONE,,Aquitaine,44.2462064,True,,0,,-0.1839979
NONE,,"Marlborough,Castle",32.7432193,True,,0,,-117.1057795
GB,England,"Brotherton,Yorkshire,England",53.7281813,True,Europe,0,,-1.2713416
NONE,,Winchester,51.0612766,True,,0,,-1.3131692
NONE,,"Winchester,Castle",51.064366,True,,0,,-1.3201176
NONE,,Aix-en-Provence,43.5298424,True,,0,,5.4474738
NONE,,"Amesbury,Wiltshire",51.1706875,True,,0,,-1.7706128
NONE,,"Convent Church,Amesbury",42.8579536,True,,0,,-70.9300921
NONE,,"Cupar Castle,Fife",56.3333331,True,,0,,-3.0000001
NONE,,Westminster,51.5004439,True,,0,,-0.1265398
NONE,,Maastricht,50.8579855,True,,0,,5.6969882
PL,Poland,"Szczecin,Poland",53.4298114,True,Europe,0,,14.5928676
DE,Germany,"Kiel,Germany",54.3227085,True,Europe,0,,10.135555
LV,Latvia,"Jakobstadt,Latvia",56.4958638,True,Europe,0,,25.8687747
RU,Russian Federation,"Near Moscow,Russia",55.7582857,True,Europe,0,,37.6043689
NONE,,Lincoln,40.8088861,True,,0,,-96.7077751
NONE,,Agincourt,48.7323472,True,,0,,6.236384
GB,England,"Barking Abbey,Essex,England",51.7704679,True,Europe,0,,0.4646698
IE,Ireland,",,,Ireland",52.865196,True,Europe,0,,-7.9794599
GB,England,"Beaumont Palace,Oxford,England",51.7520131,True,Europe,0,,-1.2578499
GB,England,"Newark Castle,Newark,Nottinghamshire,England",53.0802549,True,Europe,0,,-0.8131753
NONE,,"Worcester,Cathedral",52.1895377,True,,0,,-2.2201692
NONE,,Angouleme,45.6484505,True,,0,,0.1561947
NONE,,Fontevraud,47.1813534,True,,0,,0.0378807
GB,England,"Winchester,Castle,England",51.0630153,True,Europe,0,,-1.319524
GB,England,"Newark Castle,Newark,England",53.0802549,True,Europe,0,,-0.8131753
GB,England,"Gloucester,England",51.8653705,True,Europe,0,,-2.2458192
GB,England,"Near London,England",53.4750463,True,Europe,0,,-2.2298879
NONE,,Gloucester,51.8653705,True,,0,,-2.2458192
NONE,,Foggia,41.5028106,True,,0,,15.4528939
FR,France,"Montargis,France",47.9978628,True,Europe,0,,2.7310072
NONE,,Le Mans,48.0073849,True,,0,,0.1967849
NONE,,Chinon,47.1667182,True,,0,,0.2402095
NONE,,Bordeaux/Berlin,52.598712,True,,0,,13.4357119
GB,England,"Normandy,England",51.2550773,True,Europe,0,,-0.673856
GB,England,"Wallingford,Castle,Berkshire,England",51.4837886,True,Europe,0,,-0.6040419
NONE,,Bermondsey,51.4970125,True,,0,,-0.063268
NONE,,Martel,44.9373274,True,,0,,1.6096276
NONE,,Brunswick,52.2646577,True,,0,,10.5236066
NONE,,"Chalus,Limousin",45.6516342,True,,0,,0.9798059
NONE,,"Domfront,Normandy",48.5931801,True,,0,,-0.6473487
NONE,,Burgos,42.343926,True,,0,,-3.696977
NONE,,Angers,47.4739884,True,,0,,-0.5515588
FR,France,"Falaise,Normandy,France",48.8964741,True,Europe,0,,-0.1999129
FR,France,"Near Rouen,France",46.603354,True,Europe,0,,1.8883335
NONE,,"St Stephen Abbey,Caen,Normandy",49.1813403,True,,0,,-0.3635615
FR,France,"Flanders,France",50.6112375,True,Europe,0,,2.7451212
NONE,,Caen,49.1813403,True,,0,,-0.3635615
NONE,,"Holy Trinity,Abbey,Caen",48.9055604,True,,0,,-0.2040307
FR,France,"Normandy,France",49.0677708,True,Europe,0,,0.3138532
NONE,,Cardiff Castle,51.4823315,True,,0,,-3.181171
NONE,,New Forest,50.8557268,True,,0,,-1.5956844
NONE,,"Winchester,Cathedral",51.0607326,True,,0,,-1.3132458
FR,France,"Marcigny-sur-,Loire,France",45.7538536,True,Europe,0,,4.0454737
FR,France,"Brittany,France",48.2640845,True,Europe,0,,-2.9202408
GB,England,"Selby,Yorkshire,England",53.785097,True,Europe,0,,-1.0990407
